"('P0', 'id')","('P1_a ', 'Idade')","('P1_b ', 'Genero')","('P1_c ', 'Cor/raca/etnia')","('P1_d ', 'PCD')","('P1_e ', 'experiencia_profissional_prejudicada')","('P1_l ', 'Nivel de Ensino')","('P1_m ', 'Área de Formação')","('P2_a ', 'Qual sua situação atual de trabalho?')","('P2_g ', 'Nivel')","('P2_h ', 'Faixa salarial')","('P2_m ', 'Você participou de entrevistas de emprego nos últimos 6 meses?')","('P2_o ', 'Quais os principais critérios que você leva em consideração no momento de decidir onde trabalhar?')","('P2_p ', 'Atualmente qual a sua forma de trabalho?')"
pbk7wbth8m857tm4pbk7ph5dxlj62s6o,45.0,Masculino,Preta,Não,"Sim, acredito que a minha a experiência profissional seja afetada devido a minha Cor/Raça/Etnia",Mestrado,Computação / Engenharia de Software / Sistemas de Informação/ TI,Vivo fora do Brasil e trabalho para empresa de fora do Brasil,Sênior,de R$ 30.001/mês a R$ 40.000/mês,"Sim, fui aprovado e mudei de emprego","Propósito do trabalho e da empresa, Oportunidade de aprendizado e trabalhar com referências na área, Maturidade da empresa em termos de tecnologia e dados",Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente)
pbhxcozt55ua114sumpbhxciw1v10p56,37.0,Masculino,Parda,Não,,Estudante de Graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI,Empregado (CLT),Júnior,de R$ 2.001/mês a R$ 3.000/mês,Não participei de entrevistas de emprego/processos seletivos nos últimos 6 meses,"Remuneração/Salário, Oportunidade de aprendizado e trabalhar com referências na área, Plano de carreira e oportunidades de crescimento profissional",Modelo híbrido com dias fixos de trabalho presencial
pbabv0uyo3bnl1zgpbzzppq26hbxeq0u,32.0,Masculino,Branca,Não,,Graduação/Bacharelado,Computação / Engenharia de Software / Sistemas de Informação/ TI,Empregado (CLT),Júnior,de R$ 3.001/mês a R$ 4.000/mês,"Sim, fiz entrevistas mas não fui aprovado","Benefícios, Remuneração/Salário, Flexibilidade de trabalho remoto",Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente)
pb4uxqwpmqwo1hgkgjy7pb4uxqw0j5mv,28.0,Feminino,Branca,Não,"Sim, acredito que a minha a experiência profissional seja afetada devido a minha identidade de gênero",Estudante de Graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI,Trabalho na área Acadêmica/Pesquisador,,,,,
pavy06unpg9sbfzhnpavy06dzhbemxwb,27.0,Masculino,Amarela,Não,Não acredito que minha experiência profissional seja afetada devido a esses fatores,Estudante de Graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI,Empregado (CLT),Júnior,de R$ 1.001/mês a R$ 2.000/mês,Não participei de entrevistas de emprego/processos seletivos nos últimos 6 meses,"Remuneração/Salário, Plano de carreira e oportunidades de crescimento profissional, Propósito do trabalho e da empresa",Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente)
pakk2xwo3ftavky8xpakk0em5zshdqfb,26.0,Feminino,Branca,Não,"Sim, acredito que a minha a experiência profissional seja afetada devido a minha identidade de gênero",Graduação/Bacharelado,Outras Engenharias,Empregado (CLT),Pleno,de R$ 8.001/mês a R$ 12.000/mês,Não participei de entrevistas de emprego/processos seletivos nos últimos 6 meses,"Remuneração/Salário, Flexibilidade de trabalho remoto, Oportunidade de aprendizado e trabalhar com referências na área",Modelo 100% remoto
p9y53lth5jugyr5hugpp9y53ltkicux6,26.0,Masculino,Parda,Não,"Sim, acredito que a minha a experiência profissional seja afetada devido a minha Cor/Raça/Etnia",Estudante de Graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI,Empregado (CLT),Pleno,de R$ 6.001/mês a R$ 8.000/mês,Não participei de entrevistas de emprego/processos seletivos nos últimos 6 meses,"Remuneração/Salário, Benefícios, Ambiente e clima de trabalho",Modelo 100% remoto
p95ddgwuuplyyae7p95ddgrm43epfo5r,33.0,Feminino,Parda,Não,"Sim, acredito que a minha a experiência profissional seja afetada devido a minha Cor/Raça/Etnia, Sim, acredito que a minha a experiência profissional seja afetada devido a minha identidade de gênero",Pós-graduação,Ciências Sociais,Empregado (CLT),Sênior,de R$ 6.001/mês a R$ 8.000/mês,Não participei de entrevistas de emprego/processos seletivos nos últimos 6 meses,"Remuneração/Salário, Propósito do trabalho e da empresa, Ambiente e clima de trabalho",Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente)
p82yqr69fmvtyep82yxyknyac97rvknk,27.0,Masculino,Branca,Não,,Graduação/Bacharelado,Outras Engenharias,Empregado (CLT),,de R$ 8.001/mês a R$ 12.000/mês,Não participei de entrevistas de emprego/processos seletivos nos últimos 6 meses,"Remuneração/Salário, Propósito do trabalho e da empresa, Flexibilidade de trabalho remoto",Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente)
p822heuqjw7gwyp82kjv1esxp4oqe111,27.0,Masculino,Branca,Não,,Graduação/Bacharelado,Computação / Engenharia de Software / Sistemas de Informação/ TI,Empregado (CLT),Júnior,de R$ 4.001/mês a R$ 6.000/mês,"Sim, fui aprovado e mudei de emprego","Remuneração/Salário, Flexibilidade de trabalho remoto, Plano de carreira e oportunidades de crescimento profissional",Modelo 100% remoto
